,epoch,lr,train_loss,test_loss,tt_loss,tt_r2,test_MAE
0,0,0.002,0.7263981015295595,0.6288514733314514,0.48856696486473083,0.7301610998457517,0.39545315504074097
1,1,0.0019997806834748453,0.5210684650653118,0.607852578163147,0.43845945596694946,0.7826724413937756,0.36948373913764954
2,2,0.0019991228300988585,0.5015094811851913,0.599330484867096,0.46286457777023315,0.7578056742889807,0.3591960370540619
3,3,0.0019980267284282717,0.4710152640536025,0.5864078402519226,0.46593177318573,0.7545851632220149,0.34387311339378357
4,4,0.0019964928592495043,0.467845754043476,0.6226815581321716,0.5199511647224426,0.6943800733436141,0.3877313435077667
5,5,0.0019945218953682734,0.4668087806250598,0.55022794008255,0.40814366936683655,0.8116864185404853,0.30274975299835205
6,6,0.001992114701314478,0.45255935272654974,0.5756650567054749,0.4735758304595947,0.7464665765635414,0.3313892185688019
7,7,0.0019892723329629886,0.45048970950616374,0.5386313796043396,0.43973851203918457,0.7814026676859647,0.29012274742126465
8,8,0.001985996037070505,0.44368788277780685,0.5296232104301453,0.39479780197143555,0.8238004253802571,0.28049975633621216
9,9,0.001982287250728689,0.4263466129431853,0.5072250366210938,0.3617405593395233,0.8520723960657949,0.2572762370109558
10,10,0.0019781476007338056,0.40992517729063294,0.5194463729858398,0.3736017346382141,0.8422124359321442,0.26982352137565613
11,11,0.0019735789028731605,0.3987639457792849,0.5005864500999451,0.37538740038871765,0.8407004998108449,0.25058579444885254
12,12,0.001968583161128631,0.379169267577094,0.4560041129589081,0.3106285333633423,0.890922200326419,0.2079387605190277
13,13,0.0019631625667976584,0.3536888828148713,0.46480727195739746,0.3326301574707031,0.874923007088734,0.2160448133945465
14,14,0.001957319497532067,0.3461974456503585,0.4101612865924835,0.3224305510520935,0.8824760548110445,0.1682312935590744
15,15,0.0019510565162951536,0.33132840451356527,0.4991649389266968,0.44814929366111755,0.7729605143109762,0.2491646409034729
16,16,0.0019443763702374813,0.30289788745545054,0.38697850704193115,0.30730289220809937,0.893245350183206,0.14975136518478394
17,17,0.0019372819894918915,0.2892132300782848,0.38810470700263977,0.32826539874076843,0.878184014958161,0.15062427520751953
18,18,0.0019297764858882513,0.2933967113494873,0.38490790128707886,0.31423625349998474,0.8883737425559759,0.14815309643745422
19,19,0.0019218631515885006,0.2697889567226977,0.408739298582077,0.337497353553772,0.871235822283084,0.1670668125152588
20,20,0.001913545457642601,0.25161495603419637,0.4344705641269684,0.40136733651161194,0.8178876191625836,0.18876367807388306
21,21,0.0019048270524660196,0.22048481936390335,0.38095715641975403,0.31938716769218445,0.8846841737105846,0.14512735605239868
22,22,0.0018957117602394129,0.1975663352657009,0.36378541588783264,0.31985002756118774,0.8843497106300611,0.13233882188796997
23,23,0.0018862035792312146,0.199687753174756,0.3892720341682434,0.3279690146446228,0.8784038721099632,0.15153172612190247
24,24,0.0018763066800438636,0.1814347864002795,0.3474843204021454,0.3089919090270996,0.892068585209945,0.12074436247348785
25,25,0.0018660254037844387,0.20054035392161962,0.39412301778793335,0.3699919283390045,0.8452468812295343,0.15533195436000824
26,26,0.0018553642601605068,0.1874570323003305,0.36992278695106506,0.32866185903549194,0.8778895730110619,0.13684187829494476
27,27,0.001844327925502015,0.16945453108967962,0.3566574454307556,0.30130141973495483,0.8973743991142757,0.1272035390138626
28,28,0.0018329212407100994,0.1702426734405595,0.4019347131252289,0.36641761660575867,0.8482224335341865,0.16155052185058594
29,29,0.001821149209133704,0.16448561182698687,0.3745020031929016,0.31864747405052185,0.8852177266057634,0.14025075733661652
30,30,0.0018090169943749475,0.17170459273699168,0.3589460551738739,0.3103916347026825,0.8910885266607772,0.12884128093719482
31,31,0.0017965299180241962,0.16494439340926506,0.36281654238700867,0.3106189966201782,0.8909289131564331,0.13163484632968903
32,32,0.0017836934573258398,0.17685766034835093,0.3900700509548187,0.34561577439308167,0.8649664716260524,0.1521536409854889
33,33,0.0017705132427757893,0.16642016172409058,0.36439085006713867,0.32104185223579407,0.8834862449766658,0.13277968764305115
34,34,0.0017569950556517563,0.14389714900706266,0.40012016892433167,0.365658700466156,0.8488505107686353,0.16009515523910522
35,35,0.0017431448254773944,0.15889883786439896,0.4017670452594757,0.3690280616283417,0.8460521082949477,0.16141575574874878
