,epoch,lr,train_loss,test_loss,tt_loss,tt_r2,test_MAE
0,0,0.002,0.7193313486874103,0.5347747802734375,0.41349557042121887,0.7979616708864188,0.28598302602767944
1,1,0.0019997806834748453,0.511308741569519,0.5031020641326904,0.4167858362197876,0.7947335318238217,0.2531106472015381
2,2,0.0019991228300988585,0.4963008813560009,0.4996596574783325,0.37237468361854553,0.8361479914604681,0.2496587634086609
3,3,0.0019980267284282717,0.47477437034249304,0.5104209184646606,0.3831406831741333,0.8265364593143503,0.2605285048484802
4,4,0.0019964928592495043,0.4679956495761871,0.4916929602622986,0.35344791412353516,0.8523811079336447,0.2417609691619873
5,5,0.0019945218953682734,0.4474601410329342,0.5013228058815002,0.3757975697517395,0.8331218771747417,0.25132352113723755
6,6,0.001992114701314478,0.42938591837882994,0.4762474000453949,0.35584041476249695,0.8503758610299975,0.22681058943271637
7,7,0.0019892723329629886,0.41419882550835607,0.43719518184661865,0.2860087454319,0.9033397457283827,0.1911386400461197
8,8,0.001985996037070505,0.3878975257277489,0.4570351243019104,0.32531192898750305,0.8749480491814474,0.20888011157512665
9,9,0.001982287250728689,0.359730139747262,0.41191616654396057,0.3094974756240845,0.8868109775420432,0.16967391967773438
10,10,0.0019781476007338056,0.37672987915575507,0.3534088432788849,0.24832704663276672,0.9271322000018258,0.1248968169093132
11,11,0.0019735789028731605,0.3356397833675146,0.43559935688972473,0.32631468772888184,0.8741759169779826,0.18974581360816956
12,12,0.001968583161128631,0.3155747622251511,0.4419430196285248,0.3513011336326599,0.8541688954963691,0.19531263411045074
13,13,0.0019631625667976584,0.2986165195703506,0.30679017305374146,0.23528175055980682,0.9345871236327669,0.09411922097206116
14,14,0.001957319497532067,0.2645416609942913,0.2810985743999481,0.185488760471344,0.9593446930784594,0.07901540398597717
15,15,0.0019510565162951536,0.24433878511190416,0.2892378568649292,0.21595431864261627,0.9448927036197635,0.08365753293037415
16,16,0.0019443763702374813,0.24282012544572354,0.2652910053730011,0.25354278087615967,0.9240390563910185,0.07037831842899323
17,17,0.0019372819894918915,0.21673242822289468,0.26638010144233704,0.19946077466011047,0.9529890891538843,0.07095736265182495
18,18,0.0019297764858882513,0.21373589262366294,0.26416054368019104,0.23354412615299225,0.9355497520876578,0.06977979838848114
19,19,0.0019218631515885006,0.20313299000263213,0.24043476581573486,0.204927459359169,0.9503768164300381,0.05780788138508797
20,20,0.001913545457642601,0.18788374494761229,0.27743446826934814,0.24842268228530884,0.9270760620761943,0.07696888595819473
21,21,0.0019048270524660196,0.1917081182822585,0.2374337762594223,0.21362492442131042,0.9460751415305569,0.05637379735708237
22,22,0.0018957117602394129,0.17843113653361797,0.2598266005516052,0.26076045632362366,0.9196526256124969,0.06750886142253876
23,23,0.0018862035792312146,0.2337202627211809,0.24567827582359314,0.23707622289657593,0.9335854939325061,0.06035681441426277
