,epoch,lr,train_loss,test_loss,tt_loss,tt_r2,test_MAE
0,0,0.002,0.7433422647416592,0.5041208267211914,0.4563199579715729,0.7573850818568896,0.2541368007659912
1,1,0.0019997806834748453,0.538937596231699,0.46816274523735046,0.4353891909122467,0.7791315580878062,0.21917535364627838
2,2,0.0019991228300988585,0.514984741806984,0.42887744307518005,0.38027113676071167,0.8315137684655782,0.18393486738204956
3,3,0.0019980267284282717,0.4954495310783386,0.446609228849411,0.38478782773017883,0.8274875778446664,0.19945880770683289
4,4,0.0019964928592495043,0.48912106528878213,0.4118810296058655,0.3419337868690491,0.8637736933177882,0.16964498162269592
5,5,0.0019945218953682734,0.4673154570162296,0.43678662180900574,0.3520369529724121,0.8556044969176377,0.19078156352043152
6,6,0.001992114701314478,0.47561741024255755,0.4113593101501465,0.30670905113220215,0.8903952837450391,0.16921548545360565
7,7,0.0019892723329629886,0.44846348762512206,0.4110889434814453,0.30723661184310913,0.8900178979836417,0.16899313032627106
8,8,0.001985996037070505,0.43790681958198546,0.3635149896144867,0.2593671977519989,0.9216201675551463,0.13214215636253357
9,9,0.001982287250728689,0.42895809933543205,0.4069092869758606,0.3219524919986725,0.8792297268795928,0.16557416319847107
10,10,0.0019781476007338056,0.40910355374217033,0.3671196401119232,0.26017025113105774,0.9211340355929277,0.13477583229541779
11,11,0.0019735789028731605,0.36050224527716634,0.32726550102233887,0.20304954051971436,0.9519631891666139,0.10710171610116959
12,12,0.001968583161128631,0.32684226855635645,0.294432669878006,0.2505914866924286,0.9268345013698475,0.08668960630893707
13,13,0.0019631625667976584,0.2968734074383974,0.2768755853176117,0.1893271505832672,0.958236740052095,0.07665908336639404
14,14,0.001957319497532067,0.26597356610000134,0.2682994306087494,0.2157573252916336,0.9457621459862734,0.07198358327150345
15,15,0.0019510565162951536,0.26420532166957855,0.242023766040802,0.2069445252418518,0.9501025393768348,0.058574505150318146
16,16,0.0019443763702374813,0.23091302253305912,0.30119872093200684,0.2704644203186035,0.9147694966404691,0.09071967750787735
17,17,0.0019372819894918915,0.22989195622503758,0.23211151361465454,0.20201320946216583,0.9524522945084085,0.05387475714087486
18,18,0.0019297764858882513,0.21888676695525647,0.27308112382888794,0.27070334553718567,0.9146188554622875,0.07457229495048523
19,19,0.0019218631515885006,0.22026736065745353,0.22369015216827393,0.1934216171503067,0.9564107853852423,0.05003628507256508
20,20,0.001913545457642601,0.19106750190258026,0.2066255658864975,0.20036444067955017,0.9532252815893776,0.0426931232213974
21,21,0.0019048270524660196,0.192129610106349,0.2806840240955353,0.25738221406936646,0.9228153072265475,0.07878252863883972
22,22,0.0018957117602394129,0.21044123768806458,0.2238054722547531,0.2239462286233902,0.9415668123154952,0.05008789151906967
23,23,0.0018862035792312146,0.18631247878074647,0.22048428654670715,0.2046831101179123,0.9511871301889089,0.0486123226583004
