,epoch,lr,train_loss,test_loss,tt_loss,tt_r2,test_MAE
0,0,0.002,0.7176094993948936,0.5508092641830444,0.4690515398979187,0.7616819446207932,0.3033898174762726
1,1,0.0019997806834748453,0.5319279581308365,0.5509418249130249,0.5281655788421631,0.6978264859153422,0.3035358786582947
2,2,0.0019991228300988585,0.49669259339571,0.4925738573074341,0.4310626685619354,0.7987220001236767,0.24262799322605133
3,3,0.0019980267284282717,0.4742628924548626,0.48563849925994873,0.42914751172065735,0.800506528958612,0.23584376275539398
4,4,0.0019964928592495043,0.46357632204890253,0.467803418636322,0.40472373366355896,0.8225677694140094,0.21883904933929443
5,5,0.0019945218953682734,0.45680870935320855,0.4498317539691925,0.3832114338874817,0.840928722156102,0.20234760642051697
6,6,0.001992114701314478,0.43840816617012024,0.46825265884399414,0.377257376909256,0.845833427913359,0.21925954520702362
7,7,0.0019892723329629886,0.4194710299372673,0.41289210319519043,0.3130841851234436,0.8938217382698648,0.17047889530658722
8,8,0.001985996037070505,0.393794634193182,0.38608819246292114,0.2871876657009125,0.9106603647055614,0.1490630954504013
9,9,0.001982287250728689,0.34598012194037436,0.3820934295654297,0.3070414364337921,0.8978808557793397,0.1459943950176239
10,10,0.0019781476007338056,0.3349354162812233,0.34251612424850464,0.22050754725933075,0.9473309037725111,0.11731629073619843
11,11,0.0019735789028731605,0.30596917048096656,0.3097362220287323,0.2266537845134735,0.9443538298409602,0.09593552350997925
12,12,0.001968583161128631,0.2865519806742668,0.30423107743263245,0.24576716125011444,0.9345728026015784,0.09255555272102356
13,13,0.0019631625667976584,0.2456551380455494,0.3857424259185791,0.33646491169929504,0.8773708925767044,0.1487962156534195
14,14,0.001957319497532067,0.25558751486241815,0.2859519124031067,0.23814067244529724,0.9385704560284778,0.0817674994468689
15,15,0.0019510565162951536,0.2507296834141016,0.27045607566833496,0.22719773650169373,0.9440864121754422,0.07314549386501312
16,16,0.0019443763702374813,0.20459786392748355,0.25233325362205505,0.22134685516357422,0.946929197944946,0.0636710673570633
17,17,0.0019372819894918915,0.19775998033583164,0.24954600632190704,0.20122073590755463,0.9561416337377744,0.06227220967411995
18,18,0.0019297764858882513,0.1835686020553112,0.23421482741832733,0.17926283180713654,0.9651915441071401,0.0548555888235569
19,19,0.0019218631515885006,0.21078744493424892,0.27535295486450195,0.21725063025951385,0.9488753046820757,0.0758182480931282
20,20,0.001913545457642601,0.24215828403830528,0.27960047125816345,0.23939090967178345,0.937923734534578,0.07817542552947998
21,21,0.0019048270524660196,0.1983659939840436,0.2201230525970459,0.16986478865146637,0.9687457216544623,0.048453159630298615
22,22,0.0018957117602394129,0.16147802732884883,0.20836009085178375,0.13170680403709412,0.9812107597937767,0.04341293126344681
23,23,0.0018862035792312146,0.1786641176789999,0.231974795460701,0.1858571618795395,0.9625834437148464,0.05381130799651146
24,24,0.0018763066800438636,0.16592255402356387,0.23663166165351868,0.17762982845306396,0.9658228473241995,0.055993545800447464
25,25,0.0018660254037844387,0.16645469069480895,0.22782132029533386,0.15340732038021088,0.9745087231695179,0.05190155655145645
26,26,0.0018553642601605068,0.17340137660503388,0.21505874395370483,0.14693084359169006,0.9766157405233419,0.04624926671385765
27,27,0.001844327925502015,0.15826284121721984,0.26836052536964417,0.19941352307796478,0.9569259043503937,0.07201637327671051
28,28,0.0018329212407100994,0.1775540139526129,0.2143240123987198,0.18377342820167542,0.9634177561910229,0.045933786779642105
29,29,0.001821149209133704,0.16945762634277345,0.2347164750099182,0.17068743705749512,0.9684422484503585,0.05509082227945328
30,30,0.0018090169943749475,0.16759058963507414,0.2760709524154663,0.23853027820587158,0.9383692798197214,0.07621417939662933
31,31,0.0017965299180241962,0.21811179481446744,0.22688426077365875,0.16582676768302917,0.9702140648640012,0.05147547274827957
32,32,0.0017836934573258398,0.16949809361249207,0.20858755707740784,0.18173864483833313,0.9642233912377399,0.04350776970386505
33,33,0.0017705132427757893,0.14762427415698767,0.20362238585948944,0.1733746975660324,0.9674407224936284,0.04146108031272888
34,34,0.0017569950556517563,0.18077681623399258,0.2551712393760681,0.20241311192512512,0.9556202831535039,0.06511136889457703
35,35,0.0017431448254773944,0.1574170494452119,0.2352064996957779,0.2393079549074173,0.9379667680247371,0.0553211010992527
36,36,0.0017289686274214115,0.16314597260206937,0.22910401225090027,0.17766809463500977,0.9658081285998703,0.052487652748823166
37,37,0.0017144726796328035,0.1567251669242978,0.23590390384197235,0.1813528686761856,0.964375115263245,0.05564965307712555
38,38,0.0016996633405133657,0.14051782097667456,0.2055349498987198,0.1590208113193512,0.9726089594351665,0.04224361479282379
39,39,0.0016845471059286888,0.13656346071511508,0.20948633551597595,0.16688551008701324,0.9698324977067191,0.04388352483510971
40,40,0.0016691306063588583,0.14602165557444097,0.22504697740077972,0.1712873876094818,0.9682200137282607,0.050645142793655396
41,41,0.0016534206039901056,0.14300468247383832,0.2084006369113922,0.1631934493780136,0.9711525819217884,0.04342982545495033
42,42,0.0016374239897486897,0.14327638875693083,0.241640105843544,0.1769505888223648,0.966083733512853,0.05838894471526146
43,43,0.0016211477802783106,0.1341777615249157,0.2171812504529953,0.19314810633659363,0.959590170266732,0.047166697680950165
44,44,0.001604599114862375,0.1275128025561571,0.2101529985666275,0.1464855819940567,0.9767572628898414,0.044163282960653305
