,epoch,lr,train_loss,test_loss,tt_loss,tt_r2,test_MAE
0,0,0.002,0.6875727284461894,0.4769972562789917,0.6712354421615601,0.7007739510279092,0.22752539813518524
1,1,0.0019997806834748453,0.5238117848304992,0.4091803729534149,0.6428016424179077,0.7255877504431113,0.16742756962776184
2,2,0.0019991228300988585,0.4850316123759493,0.391101598739624,0.6355252265930176,0.7317652065338153,0.1529594510793686
3,3,0.0019980267284282717,0.4729499382541535,0.42136064171791077,0.6936010122299194,0.6805012790043964,0.17754380404949188
4,4,0.0019964928592495043,0.4671621411404711,0.40653935074806213,0.6344839334487915,0.7326435204729279,0.16527323424816132
5,5,0.0019945218953682734,0.461007445416552,0.3925556242465973,0.6445052027702332,0.7241313044961541,0.15409891307353973
6,6,0.001992114701314478,0.4447044527277033,0.35462313890457153,0.6344053745269775,0.7327096823925571,0.12575656175613403
7,7,0.0019892723329629886,0.4163507105822259,0.3700963258743286,0.6518996953964233,0.7177648338724132,0.13697028160095215
8,8,0.001985996037070505,0.4108134086461777,0.2981664538383484,0.6079721450805664,0.754519663073505,0.08890222758054733
9,9,0.001982287250728689,0.38001512434888396,0.356073796749115,0.6048163771629333,0.7570614520841794,0.12678755819797516
10,10,0.0019781476007338056,0.35962443751223544,0.2714286744594574,0.5827164053916931,0.7744910706539783,0.07367253303527832
11,11,0.0019735789028731605,0.34978470301374476,0.38179564476013184,0.5785808563232422,0.7776806032719368,0.14576691389083862
12,12,0.001968583161128631,0.31296482174954515,0.2257414609193802,0.5189014673233032,0.8211789262260479,0.05095820873975754
13,13,0.0019631625667976584,0.3101120908209618,0.2933412194252014,0.49705368280410767,0.8359200738554154,0.08604807406663895
14,14,0.001957319497532067,0.2721442437552391,0.26695355772972107,0.4282425343990326,0.8782054675654386,0.07126320153474808
15,15,0.0019510565162951536,0.25655488289417105,0.29785752296447754,0.3728502690792084,0.9076756186233692,0.08871810883283615
16,16,0.0019443763702374813,0.2620567219688537,0.24322476983070374,0.3475456237792969,0.9197822163148672,0.059157293289899826
17,17,0.0019372819894918915,0.2477673666274294,0.2306327223777771,0.26474228501319885,0.9534530708368288,0.053190454840660095
18,18,0.0019297764858882513,0.20897587753356772,0.25195765495300293,0.21602486073970795,0.9690080585013122,0.06348166614770889
19,19,0.0019218631515885006,0.20593167564019244,0.25977855920791626,0.25353458523750305,0.9573107843749192,0.06748390197753906
20,20,0.001913545457642601,0.22616931383914135,0.26471593976020813,0.2713127136230469,0.9511139499195032,0.07007352262735367
21,21,0.0019048270524660196,0.2064477447816666,0.24225379526615143,0.22862905263900757,0.9652859592279464,0.05868590623140335
22,22,0.0018957117602394129,0.1875739205390849,0.23997291922569275,0.20555980503559113,0.9719381214008393,0.057586003094911575
23,23,0.0018862035792312146,0.17714902283029355,0.25285983085632324,0.1952080875635147,0.9746933436803829,0.06393709033727646
24,24,0.0018763066800438636,0.1881205051186237,0.25127995014190674,0.23921793699264526,0.9619958951045224,0.0631406158208847
25,25,0.0018660254037844387,0.18750502248393727,0.27089956402778625,0.23635293543338776,0.9629007701204957,0.0733855813741684
26,26,0.0018553642601605068,0.1731259176071654,0.2533482611179352,0.1872696876525879,0.9767098018916321,0.06418434530496597
27,27,0.001844327925502015,0.18813706585701476,0.2589859068393707,0.22641028463840485,0.9659564834137184,0.06707269698381424
28,28,0.0018329212407100994,0.1860798589409666,0.2444128841161728,0.2054862529039383,0.9719582005211403,0.05973666161298752
29,29,0.001821149209133704,0.17686610114067158,0.2857866883277893,0.22489234805107117,0.9664114418034871,0.0816730260848999
30,30,0.0018090169943749475,0.1591932515197612,0.3049619197845459,0.21663814783096313,0.9688318388811598,0.09300076961517334
31,31,0.0017965299180241962,0.17942333142174052,0.2877589464187622,0.23766417801380157,0.9624879893068153,0.08280421793460846
32,32,0.0017836934573258398,0.1567967060081502,0.26072052121162415,0.17905008792877197,0.9787094851009803,0.06797418743371964
33,33,0.0017705132427757893,0.1550738234469231,0.2560671269893646,0.20992529392242432,0.9707335371190439,0.06556937098503113
34,34,0.0017569950556517563,0.18103975517318605,0.2788972854614258,0.3035990595817566,0.9387865680701993,0.07778270542621613
35,35,0.0017431448254773944,0.16253347774135304,0.26287591457366943,0.2006404548883438,0.9732652084876687,0.06910274922847748
36,36,0.0017289686274214115,0.1670760081169453,0.238522469997406,0.20361310243606567,0.9724671227651501,0.056891970336437225
37,37,0.0017144726796328035,0.16847671790325897,0.26507362723350525,0.24683824181556702,0.9595360453205368,0.07026302814483643
38,38,0.0016996633405133657,0.19492956282610588,0.2902572751045227,0.2685428857803345,0.9521070137507573,0.08424828946590424
39,39,0.0016845471059286888,0.16327430513945032,0.242080956697464,0.2037198841571808,0.9724382379893028,0.058602187782526016
40,40,0.0016691306063588583,0.16660117754276763,0.25443387031555176,0.27395910024642944,0.9501556129876382,0.06473559886217117
41,41,0.0016534206039901056,0.1615539518125514,0.24462848901748657,0.18200649321079254,0.9780005814703496,0.059842098504304886
42,42,0.0016374239897486897,0.1558059499935901,0.2562338709831238,0.21979385614395142,0.9679171659510122,0.06565479189157486
43,43,0.0016211477802783106,0.14780152573230418,0.24564391374588013,0.1822568029165268,0.9779400278642157,0.06033993512392044
44,44,0.001604599114862375,0.15592042784741583,0.27071982622146606,0.23163670301437378,0.9643666031348214,0.07328823208808899
45,45,0.0015877852522924731,0.16339458509328517,0.22449617087841034,0.24093899130821228,0.9614470771968203,0.05039753392338753
46,46,0.001570713567684432,0.13753993000755918,0.24373991787433624,0.21488115191459656,0.969335365687572,0.059408146888017654
47,47,0.001553391549243344,0.1631058064546991,0.27713266015052795,0.24923448264598846,0.9587465887735295,0.07680150866508484
48,48,0.0015358267949789966,0.1591926581682043,0.28607040643692017,0.24986840784549713,0.9585364687660273,0.08183528482913971
49,49,0.0015180270093731302,0.16059003056997948,0.246496319770813,0.19694991409778595,0.9742396977002157,0.06075944006443024
