,epoch,lr,train_loss,valid_loss,valid_MAE,valid_r2
0,0,0.001,0.04458790585614633,5.574075698852539,6.074075222015381,-400500550811.66583
1,1,0.000999984578822395,0.01660601816315582,1.9085460901260376,2.3650221824645996,-34793642.11396858
2,2,0.0009999383162408303,0.008918008942534958,1.5253512859344482,1.9599828720092773,-1.3011246684447682
3,3,0.0009998612151090004,0.004455806120582249,1.5998070240020752,2.051790237426758,-0.5255021854496982
4,4,0.0009997532801828658,0.005242091590079708,0.8897043466567993,1.298419713973999,0.4415285953624133
5,5,0.0009996145181203615,0.004821122124575187,1.335715651512146,1.7823399305343628,-0.20634959282301502
6,6,0.0009994449374809851,0.00482562616251517,0.5603359937667847,0.9126526713371277,0.7102581570844135
7,7,0.000999244548725269,0.005494622648626134,0.7390908002853394,1.152477741241455,0.6498027937450208
8,8,0.0009990133642141358,0.008376225181247877,0.6429949998855591,1.0318228006362915,0.7270656956137531
9,9,0.000998751398208135,0.003391324393991111,0.7175374031066895,1.109257698059082,0.5875386039498914
10,10,0.000998458666866564,0.002945987426716348,0.6319696307182312,1.021422266960144,0.7473938163811585
11,11,0.0009981351882464707,0.004221795261770055,0.7552651762962341,1.1713353395462036,0.7208800265538596
12,12,0.00099778098230154,0.0037903578385062838,0.5779826641082764,0.9580661654472351,0.7113057519109134
13,13,0.0009973960708808632,0.003532886505126953,0.5064405202865601,0.8598568439483643,0.729010452116569
14,14,0.0009969804777275899,0.003127712486446768,0.5857506990432739,0.9476542472839355,0.7692333607309523
15,15,0.0009965342284774632,0.002673192084699437,0.5427238345146179,0.9074579477310181,0.7013236566554938
16,16,0.000996057350657239,0.004095651101374971,0.4015142619609833,0.7275647521018982,0.8310436459391153
17,17,0.0009955498736829874,0.0030286236517671227,0.9214947819709778,1.334368348121643,0.7143877380696758
18,18,0.0009950118288582787,0.003969315601431806,0.5719735026359558,0.9397773146629333,0.6687976644521465
19,19,0.0009944432493722525,0.0024331471194391665,0.4281134605407715,0.7618414759635925,0.8412083983042677
20,20,0.0009938441702975688,0.003009592709334,0.5601420402526855,0.9436042904853821,0.7741202738811332
21,21,0.0009932146285882477,0.00405224337094072,0.6053232550621033,1.0017073154449463,0.7732698848297391
22,22,0.000992554663077387,0.002884536549664926,0.5962111353874207,0.9891281127929688,0.7836371087946195
23,23,0.000991864314474768,0.004852335954057998,0.3751014769077301,0.6889700293540955,0.8169096015519117
24,24,0.0009911436253643444,0.0030688431815824647,0.4964074492454529,0.8490563035011292,0.7181053796786436
25,25,0.0009903926402016153,0.002699285097744154,0.8513957262039185,1.2783392667770386,0.7242004501060411
26,26,0.000989611405310883,0.0019405168899591417,0.560438334941864,0.9522640109062195,0.7885231264344095
27,27,0.0009887999688823954,0.0060632069041763525,0.40189501643180847,0.7331121563911438,0.7998909395122022
28,28,0.0009879583809693738,0.0015746336700259776,0.6013084650039673,0.9764377474784851,0.638369209830548
29,29,0.0009870866934849247,0.003336421389510666,0.3804137110710144,0.6986555457115173,0.8122729338478119
30,30,0.0009861849601988384,0.004501515540523806,0.5075928568840027,0.8792057633399963,0.8093999278688141
31,31,0.0009852532367342712,0.002030138952144678,0.4025801718235016,0.7314196228981018,0.8314005332137177
32,32,0.0009842915805643156,0.0028687972521436386,0.42986977100372314,0.7845497131347656,0.8339209498742253
33,33,0.0009833000510084536,0.0034951977971671285,0.6355206966400146,1.016372561454773,0.6228794400298352
34,34,0.000982278709228899,0.003847766613614732,0.40680932998657227,0.7500455975532532,0.8099353352283847
35,35,0.0009812276182268236,0.0018765818381655044,0.6974254846572876,1.099338173866272,0.582692610965567
36,36,0.0009801468428384716,0.0020594897045605426,0.4568478763103485,0.7930132150650024,0.8219769549589273
37,37,0.0009790364497311596,0.002284095555111982,0.6150261163711548,0.989661455154419,0.7964604671960598
38,38,0.000977896507399165,0.0030893750380778656,0.31635260581970215,0.6020899415016174,0.8507032907919814
39,39,0.0009767270861595005,0.0036960455818452697,0.4583291709423065,0.8262354135513306,0.7819875715358229
40,40,0.0009755282581475768,0.0016814270529194155,0.441527396440506,0.7667034268379211,0.7471122733662507
41,41,0.0009743000973127522,0.0018852104743321736,0.31340745091438293,0.6029604077339172,0.8566356104317486
42,42,0.0009730426794137727,0.004612340011458466,0.8764165639877319,1.331261396408081,0.6908845481491028
43,43,0.0009717560820140968,0.003033165266548378,0.35022714734077454,0.6662493348121643,0.84626461215127
44,44,0.0009704403844771128,0.004372247319290604,0.3281884491443634,0.626309335231781,0.8267938829977326
45,45,0.0009690956679612422,0.0029241714788519817,0.36332476139068604,0.675960123538971,0.8117232636431478
46,46,0.0009677220154149337,0.001192532479763031,0.31501543521881104,0.6086540222167969,0.8377969352486131
47,47,0.000966319511571547,0.006040479825890582,0.3248976767063141,0.6137514114379883,0.8662899443492712
48,48,0.0009648882429441257,0.0015165011088053386,0.3674914538860321,0.6782370209693909,0.8511684807449703
49,49,0.0009634282978200604,0.001229482284490613,0.33405864238739014,0.6381001472473145,0.8345529633392209
50,50,0.0009619397662556434,0.0020844145961429763,0.35666725039482117,0.6706553101539612,0.8403886187488866
51,51,0.0009604227400705132,0.0018987472074619238,0.3803972601890564,0.6997030973434448,0.801743239761735
52,52,0.0009588773128419905,0.001557878825975501,0.30822470784187317,0.5940378904342651,0.84550216470454
53,53,0.0009573035798993068,0.0016846785294836845,0.5395964980125427,0.9383098483085632,0.8007884218485263
54,54,0.0009557016383177226,0.0020397821630256763,0.2893369793891907,0.5681326389312744,0.8571923803375163
55,55,0.0009540715869125407,0.0015397113950356193,0.3542962968349457,0.6801377534866333,0.8415310454205399
56,56,0.0009524135262330098,0.002744043434875599,0.3484819531440735,0.6549213528633118,0.8129479582394387
57,57,0.0009507275585561229,0.0021110822757085166,0.31511926651000977,0.6119697093963623,0.8479562319094048
58,58,0.0009490137878803078,0.0028950870037078857,0.4980778098106384,0.8726080656051636,0.7435720782432638
59,59,0.0009472723199190125,0.0025631705487983813,0.2871500849723816,0.56340491771698,0.8521296585776529
60,60,0.0009455032620941839,0.002691763034765271,0.4051591753959656,0.7459250688552856,0.84095763758651
61,61,0.0009437067235296417,0.0028516855360805125,0.32361847162246704,0.6095494627952576,0.8601590632829714
62,62,0.0009418828150443468,0.001461873235909835,0.4581153690814972,0.7979438304901123,0.7437114117704686
63,63,0.000940031649145566,0.003156352518261343,0.34013137221336365,0.6462684273719788,0.8252016570185757
64,64,0.0009381533400219318,0.003223649617554485,0.3112310469150543,0.5998477935791016,0.8570889286372018
65,65,0.0009362480035363986,0.002187466923741327,0.3576456308364868,0.660002589225769,0.8610868187794832
66,66,0.0009343157572190957,0.0018912102433218472,0.3871137499809265,0.7112064957618713,0.7956611046077555
67,67,0.0009323567202600776,0.005580813556477643,0.48790115118026733,0.8482253551483154,0.8265932959209705
68,68,0.0009303710135019718,0.006334675394970438,0.3209308385848999,0.623248815536499,0.8537574488748112
69,69,0.0009283587594325249,0.003142779072125753,0.28116947412490845,0.5518017411231995,0.8627055356352991
70,70,0.0009263200821770461,0.0011279450162597325,0.2781388759613037,0.5439134836196899,0.8610290855448026
71,71,0.0009242551074907519,0.0027466638796571374,0.29302018880844116,0.5673453211784363,0.8671292692900635
72,72,0.0009221639627510075,0.0011045978121135545,0.34234800934791565,0.6555799841880798,0.8333040652617048
73,73,0.0009200467769494709,0.0031244776387145553,0.31785452365875244,0.6091554760932922,0.8555326272342348
74,74,0.0009179036806841352,0.003507010098816692,0.38062241673469543,0.7025126814842224,0.7966862564803244
75,75,0.0009157348061512727,0.0010736540391825247,0.3078732490539551,0.5901219248771667,0.8687829203762195
76,76,0.0009135402871372809,0.0026424404071724934,0.36934641003608704,0.6937852501869202,0.8238354352149024
77,77,0.0009113202590104299,0.0013648657047230265,0.301161527633667,0.578827977180481,0.866905131647108
78,78,0.0009090748587125117,0.0033970315387283545,0.3164617717266083,0.6139023900032043,0.8620969586736891
79,79,0.0009068042247503936,0.0018517156873924146,0.2745279371738434,0.5373092293739319,0.8596151713654633
80,80,0.0009045084971874737,0.001415006168510603,0.343737930059433,0.6696275472640991,0.8392576864889693
