Smiles,C18-TFA,C18-NH4,CN-TFA,CN-NH4,Phen-TFA,Phen-NH4,AQ-TFA,AQ-NH4
CNC=1C=CC(=CC1)S(=O)(=O)N(C)C,2.841,2.978,2.984,3.073,3.478,3.448,3.478,3.638
FC=1C=CC=C2C1NCC32CCCC3,2.676,4.779,2.37,??,3.171,4.737,3.35,5.145
CC=1C=CN(CC=2C=CC(C#N)=CC2F)C(=O)C1,2.904,2.916,3.126,3.139,3.567,3.427,3.577,3.558
CC(C)CN1C=NC(=C1)S(=O)(=O)N2CCC32CCC3,3.531,3.603,3.45,3.493,4.039,3.963,4.064,4.185
CC1(C)COCCN1CC=2C=CC(C#N)=CC2F,1.77,4.325*,1.756,3.822,2.51,4.37,2.392,4.773
CNC(=O)C1CC1C=2C=CC=C(Cl)C2,3.345,3.338,3.406,3.399,3.875,3.738,4.009,4.055
CC1=NC=CN1C=2C=CC=CC2CNS(=O)(=O)C,1.618,2.282,1.44,2.682,2.321,2.775,2.172,2.968
FC=1C=CC=C(F)C1C(=O)N2CCNCC2,1.55,1.545,1.332,2.488,2.185,2.198,2.079,2.569
CC=1C=CC=C(C1)C2CCNC2C(=O)O,2.172,1.774,1.901,1.769,2.779,2.229,2.747,2.472
CC(N1CCCCC1=O)C(=O)O,1.67,0.874,1.542,0.682,2.291,1.315,2.268,1.493
OC(=O)C1NCCC1C=2C=CC=C(F)C2,1.951*,1.55,1.649,1.538,2.574,2.035,2.496,2.205
CC1COCCN1CC=2C=CC(C#N)=CC2F,1.646,3.637,1.477,3.328,2.379,3.869,2.192,4.237
CC1=CC=C(S1)C(=O)N2CCOCC32CCOC3,3.144,3.145,3.042,3.06,3.665,3.535,3.729,3.83
CC1CCN(CC1)C(=O)C=2C=C(F)C=CC2F,4.035,4.042,3.705,3.718,4.366,4.253,4.493,4.591
CN(C)C(=O)CC=1C=CC=CC1Cl,3.023,3.027,2.923,2.94,3.583,3.455,3.694,3.713
CC=1C=CC(=CC1Cl)S(=O)(=O)NC2CCCNC2,2.561,2.442,2.45,4.616,3.181,3.017,3.148,4.251*
CNC(=O)C=1C=CC=NC1OC=2C=CC=CC2,2.917,2.928,2.944,2.959,3.5,3.35,3.568,3.637
NC(C1=NOC(=N1)C2CC2)C=3C=CC=CC3,2.12,2.888,1.907,2.914,2.771,3.351,2.686,3.719
OC(=O)C1(CCCC1)C=2C=CC=NC2,1.682,1.57,1.345,1.297,2.384,1.987,2.253,2.22
O=C1NC(=O)C2(CCC2)N1,1.244,???,1.285,1.291*,1.986,1.682,1.884,2.216
